Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Cuba,2016,114th,Warning,5.4,7,4.2,4.2,5.6,5.4,7.3,4.3,7.7,5.7,4.2,5.3
Malaysia,2016,115th,Warning,6.5,6.8,6.7,3.3,5.2,4.7,7.4,4.4,7.7,5.5,3.9,4
Belize,2016,116th,Warning,6.1,4.3,4.1,6.4,5.9,6.7,5.4,6.1,4.4,5.6,3.8,7.2
Brazil,2016,117th,Warning,6.4,4.9,5.7,4.5,8,4.3,5.9,6,6.1,7.6,2.9,3
Jamaica,2016,118th,Warning,6.6,3.7,3.6,7.1,5.6,8.1,5,6.1,5.2,4.9,3.1,6
Cyprus,2016,119th,Warning,4.1,7.9,6.5,6.4,6.1,4.2,5,2.7,3.2,3.7,5,9.2
Botswana,2016,120th,Warning,3.8,3.3,5.1,6,8,5.2,3.5,7,4.7,7.9,4.7,4.3
Bahrain,2016,121st,Warning,6.4,7.1,7.9,3.5,4.8,3.2,8.4,2,8.3,4.3,2.5,5
Grenada,2016,122nd,Warning,5.9,5.6,3.8,6.2,5,8.6,5.6,4,3.4,4.9,3.2,6.8
Brunei Darussalam,2016,123rd,Warning,5.3,7.4,5.9,3,7.8,4.3,8.3,2,7.9,3.9,2.4,3.8
Albania,2016,124th,Warning,4.4,6.2,4.7,5.5,3.8,7.6,5.9,4.2,5,4.2,3.3,6.4
Seychelles,2016,125th,Warning,6.3,6,4.5,4.3,5.7,5.6,5.7,2.9,4.3,4.8,2.9,7.2
Kuwait,2016,126th,Stable,4.2,7.5,5.2,2.7,4.4,3.3,7.4,2.8,7.6,5.2,3.7,4.5
Trinidad and Tobago,2016,127th,Stable,6,5.6,4.4,4.6,5.1,7.8,4.7,4.5,4.3,4.7,2.8,3.3
Mongolia,2016,128th,Stable,3.7,5.5,4,5,6.1,3,4.2,5.6,4.7,5.3,2.7,6.8
Antigua and Barbuda,2016,129th,Stable,5.4,3.7,3.9,4.7,4.7,7,5.6,4,4.6,4.3,2.8,5.5
Greece,2016,130th,Stable,4.2,3.8,5.1,7,3.9,3.5,6.2,4,3.2,3.9,5,6.1
Montenegro,2016,131st,Stable,3.7,6.5,7.6,4.9,2.6,3.7,4.8,3.3,4.1,3,4.8,6.2
Bulgaria,2016,132nd,Stable,3.8,5.3,5.3,5.9,4.6,4.3,4.7,3.9,3.5,3.9,4,4.5
Panama,2016,133rd,Stable,5.4,2.5,5.3,3.1,7.6,4.3,3.7,5.3,4.5,5.4,3.2,2.9
Romania,2016,134th,Stable,3.2,5.4,7,4.9,4.4,4.2,5.7,4,3.9,3.4,3,3.8
Hungary,2016,135th,Stable,2.4,5.3,5,5.6,4,3,6.3,3.4,4.9,2,6.7,4.1
Croatia,2016,136th,Stable,3.7,4.4,6,5.5,3.5,4.2,3.1,2.6,3.8,3.3,7.5,4.8
Bahamas,2016,137th,Stable,4.3,4.5,4.1,4.5,4.7,4.7,4,4.8,3.3,6.6,2.7,3.4
Oman,2016,137th,Stable,4.4,6.6,3.1,4.2,4.3,2.2,6.5,3.7,7.4,5,2.2,2
Barbados,2016,139th,Stable,4.4,4.2,4.1,6,4.8,5.1,2.7,2.7,2.6,4.1,2.6,5.7
Argentina,2016,140th,Stable,4,2.8,4.7,5.5,5.1,2.7,5,4,3.8,4,2.5,4.3
Latvia,2016,141st,Stable,3.2,4.3,7.7,3.7,4.3,4.5,3.6,3.1,2.8,3.1,3,4.1
Costa Rica,2016,142nd,Stable,3.3,3.8,4.4,4.2,5.5,3.8,2.6,4.1,1.7,3.8,3.6,4.3
Qatar,2016,142nd,Stable,2.3,5,4.6,2.3,4.9,2.8,6.3,1.5,6.5,4,2,2.9
Slovak Republic,2016,144th,Stable,2,4.2,6.5,4.8,3.7,3.9,4.5,2.6,2.7,2.5,4,3.5
United Arab Emirates,2016,145th,Stable,2.8,3.6,3.6,2.6,3.9,2.2,6.9,2.4,7.5,4.2,2.2,2.6
Estonia,2016,146th,Stable,2.9,5.5,6.8,3.7,3.4,3.7,2.9,3.1,1.8,3,2.6,4
Mauritius,2016,147th,Stable,2.5,3.2,3.8,4.2,4,4.1,3.2,3.5,3.6,3.8,2.4,4.9
Italy,2016,148th,Stable,4.2,4.9,5,5.5,3.1,1.7,3.9,2.3,2.2,2.8,5,2.5
Lithuania,2016,149th,Stable,3.1,3,4.6,4.7,4.7,4.1,2.9,3.7,2.7,3,2.4,3.5
Chile,2016,150th,Stable,2.9,2.2,3.8,3.3,5.4,3.5,3.5,4.2,3.2,5.4,2.2,2.3
Czech Republic,2016,151st,Stable,2.3,5,5,4.3,2.9,2.5,4.9,2.8,2.6,1.6,4,2.9
Poland,2016,152nd,Stable,2,3.8,4.9,3.8,3.2,4.2,3.5,2.5,2.9,3,3.8,3.1
Spain,2016,153rd,Stable,3,6.3,5.9,5.2,3.7,2.1,3,2.4,2,2.2,2,2
Malta,2016,154th,Stable,3.3,2,3.9,4.2,2.8,3.9,3.8,2.2,3.2,2.7,4.1,3.5
